Time,SC,SF,SA
2000M01,83.14,82.8,96.33
2000M02,84.06,83.79,96.63
2000M03,86.07,85.86,97.26
2000M04,88.31,88.14,97.94
2000M05,90.48,90.27,98.47
2000M06,92.32,92.03,98.84
2000M07,93.86,93.5,99.19
2000M08,95.17,94.78,99.30
2000M09,96.45,96.1,99.41
2000M10,97.85,97.61,99.82
2000M11,99.03,98.92,100.03
2000M12,100,100,100.00
2001M01,101.13,101.14,100.28
2001M02,102.53,102.46,101.04
2001M03,104.06,103.84,101.76
2001M04,105.35,104.91,102.31
2001M05,106.14,105.45,102.92
2001M06,106.6,105.68,103.58
2001M07,106.8,105.74,103.94
2001M08,106.64,105.55,104.02
2001M09,106.45,105.4,104.21
2001M10,106.27,105.34,104.35
2001M11,105.92,105.21,104.23
2001M12,105.76,105.38,104.12
2002M01,106.03,106.04,104.37
2002M02,106.83,107.22,105.03
2002M03,108.31,109.08,105.84
2002M04,110,111.12,106.59
2002M05,111.5,112.96,107.39
2002M06,112.83,114.64,108.16
2002M07,114.01,116.19,108.68
2002M08,114.8,117.32,108.86
2002M09,115.15,118.02,109.01
2002M10,115.43,118.59,109.28
2002M11,115.47,118.87,109.58
2002M12,115.64,119.23,109.63
2003M01,115.89,119.66,109.61
2003M02,116.19,120.1,110.00
2003M03,117.29,121.35,110.77
2003M04,118.42,122.67,111.70
2003M05,118.83,123.26,112.52
2003M06,119.4,124.03,113.06
2003M07,120.5,125.37,113.47
2003M08,121.34,126.44,113.95
2003M09,121.78,127.04,114.15
2003M10,122.4,127.71,114.12
2003M11,123.12,128.44,114.10
2003M12,123.84,129.15,114.05
2004M01,124.65,129.93,114.04
2004M02,126.22,131.53,114.41
2004M03,128.56,133.96,115.32
2004M04,131.52,137.1,116.35
2004M05,134.99,140.76,117.41
2004M06,138.12,144,118.46
2004M07,140.42,146.36,119.09
2004M08,141.8,147.81,119.31
2004M09,142.97,149.11,119.16
2004M10,144.42,150.74,119.13
2004M11,145.6,152.13,119.45
2004M12,146.59,153.37,119.47
2005M01,148.3,155.45,119.61
2005M02,150.65,158.24,120.48
2005M03,153.6,161.7,122.00
2005M04,156.97,165.58,123.62
2005M05,159.78,168.77,125.11
2005M06,161.99,171.29,126.52
2005M07,163.98,173.56,127.54
2005M08,165.66,175.46,128.29
2005M09,166.51,176.33,129.02
2005M10,166.5,176.22,129.68
2005M11,166.16,175.77,130.26
2005M12,165.79,175.28,130.52
2006M01,165.87,175.26,130.98
2006M02,166.58,175.92,132.14
2006M03,167.51,176.86,133.46
2006M04,168.18,177.59,134.80
2006M05,168.34,177.79,136.56
2006M06,167.75,177.22,138.27
2006M07,166.56,176.09,139.52
2006M08,164.86,174.39,140.37
2006M09,163.15,172.59,140.66
2006M10,161.84,171.13,140.97
2006M11,160.56,169.68,141.53
2006M12,159.57,168.55,141.91
2007M01,159.8,168.74,142.42
2007M02,161.35,170.3,143.24
2007M03,163.06,171.92,144.45
2007M04,163.72,172.25,145.92
2007M05,163.63,171.64,147.04
2007M06,163.13,170.52,147.89
2007M07,161.57,168.21,148.42
2007M08,159.53,165.42,148.02
2007M09,157.22,162.37,147.35
2007M10,154.04,158.43,147.04
2007M11,150.57,154.17,146.41
2007M12,147.46,150.28,145.69
2008M01,144.61,146.67,145.27
2008M02,141.87,143.18,145.04
2008M03,139.77,140.37,144.98
2008M04,138.39,138.31,145.22
2008M05,137.08,136.33,146.04
2008M06,136.2,134.78,146.74
2008M07,134.83,132.8,146.42
2008M08,132.57,130.1,145.43
2008M09,130.56,127.77,144.49
2008M10,128.51,125.45,143.16
2008M11,125.74,122.53,141.31
2008M12,122.48,119.24,139.76
2009M01,119.73,116.56,138.82
2009M02,117.79,114.8,138.95
2009M03,116.31,113.59,139.78
2009M04,115.43,113.07,140.80
2009M05,115.85,113.95,142.04
2009M06,117.07,115.72,142.98
2009M07,117.78,117.02,143.11
2009M08,118.14,117.91,142.68
2009M09,118.39,118.61,142.30
2009M10,118.69,119.28,142.01
2009M11,118.86,119.76,141.42
2009M12,118.21,119.38,140.69
2010M01,117.21,118.61,140.32
2010M02,117.14,118.73,140.42
2010M03,117.72,119.44,141.03
2010M04,117.95,119.75,142.32
2010M05,117.88,119.72,143.70
2010M06,117.37,119.25,144.03
2010M07,116.72,118.68,143.35
2010M08,115.72,117.79,142.40
2010M09,114.3,116.47,141.03
2010M10,113.05,115.27,139.56
2010M11,112,114.22,138.82
2010M12,110.87,113.1,138.45
2011M01,109.72,112.01,138.30
2011M02,109.03,111.43,138.83
2011M03,108.93,111.48,139.66
2011M04,108.96,111.66,140.41
2011M05,108.71,111.56,141.32
2011M06,108.47,111.43,142.24
2011M07,108.01,111.04,142.14
2011M08,107.38,110.45,141.02
2011M09,106.77,109.9,140.15
2011M10,106.18,109.3,139.78
2011M11,105.9,108.97,139.58
2011M12,105.47,108.46,139.47
2012M01,104.91,107.89,139.46
2012M02,105.09,108.18,140.20
2012M03,106.47,109.79,141.81
2012M04,108.17,111.83,143.66
2012M05,109.55,113.63,145.18
2012M06,110.77,115.35,146.26
2012M07,111.63,116.79,146.81
2012M08,112.47,118.32,146.64
2012M09,113.46,120.11,146.35
2012M10,114.46,121.92,146.43
2012M11,115.01,123.24,146.46
2012M12,115.36,124.4,146.45
2013M01,116.45,126.43,146.67
2013M02,118.54,129.61,147.30
2013M03,121.45,133.7,148.81
2013M04,124.44,137.86,150.96
2013M05,126.99,141.44,153.15
2013M06,129.34,144.69,154.72
2013M07,131.3,147.36,155.52
2013M08,132.42,148.94,155.82
2013M09,132.97,149.86,155.91
2013M10,133.05,150.22,155.83
2013M11,132.88,150.35,155.65
2013M12,133.05,150.91,155.79
2014M01,133.79,152.14,156.05
2014M02,135.27,154.25,156.79
2014M03,137.18,156.79,158.43
2014M04,138.96,159.02,160.38
2014M05,140.37,160.71,162.10
2014M06,141.69,162.19,163.36
2014M07,142.95,163.55,164.08
2014M08,143.69,164.31,164.61
2014M09,144.13,164.69,165.17
2014M10,144.62,165.14,165.48
2014M11,145.09,165.63,165.74
2014M12,145.7,166.42,166.13
2015M01,146.54,167.59,166.76
2015M02,147.97,169.54,168.12
2015M03,150.3,172.64,170.06
2015M04,152.51,175.67,171.90
2015M05,154.32,178.21,173.71
2015M06,155.83,180.36,175.47
2015M07,156.93,181.97,176.47
2015M08,157.76,183.15,176.39
2015M09,158.26,183.85,176.31
2015M10,158.76,184.51,176.71
2015M11,159.4,185.32,176.85
2015M12,160.01,186.1,176.75
2016M01,160.58,186.82,177.31
2016M02,162.26,188.79,178.87
2016M03,164.94,191.86,180.56
2016M04,166.98,194.11,182.34
2016M05,168.57,195.74,184.41
2016M06,170.13,197.23,186.06
2016M07,171.26,198.15,187.21
2016M08,171.88,198.44,188.15
2016M09,172.09,198.3,188.69
2016M10,172.36,198.31,188.78
2016M11,172.82,198.61,188.59
2016M12,173.67,199.44,188.54
2017M01,174.64,200.59,189.54
2017M02,175.72,202.11,191.35
2017M03,177.31,204.44,193.50
2017M04,179.12,207.2,196.49
2017M05,180.75,209.8,198.99
2017M06,181.82,211.82,199.92
2017M07,182.48,213.47,200.26
2017M08,182.95,214.94,200.47
2017M09,183.18,216.1,200.74
2017M10,183.06,216.81,200.97
2017M11,183.01,217.61,201.06
2017M12,183.42,218.96,201.23
2018M01,184.51,221.12,201.36
2018M02,186.24,224.03,202.60
2018M03,187.86,226.82,205.04
2018M04,189.22,229.24,207.42
2018M05,190.36,231.31,209.29
2018M06,190.71,232.32,210.60
2018M07,190.32,232.36,211.51
2018M08,189.59,231.91,212.50
2018M09,188.53,231.04,212.89
2018M10,187.13,229.77,212.34
2018M11,185.18,227.89,211.72
2018M12,183.59,226.51,211.32
2019M01,183.34,226.83,211.84
2019M02,183.51,227.7,213.72
2019M03,184.79,229.81,216.28
